id,question,desired_answer,student_answer,score_me,score_other,score_avg
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,"For us it is usually a set, get, and displayMessge or other messages that tell you what properties a class has but does not reveal its implementations. You could have anything you want in your own class definition.",1,3,2
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,The attributes of said class. Also whether or not it is a subclass. Also whether it is public private or protected.,4,4,4
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,Information telling the compiler what data members and member functions belong to the class.,5,5,5
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,"Since class is user defined, the body of the declaration can contain members, that can be either data or function declarations, and optionally access specifiers.  Example for specifiers would be public, private, and protected.  There is the keyword Class and the Class body is enclosed with brackets ({}). ",5,5,5
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,An object and data.,1,3,2
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,"It's specific class name, includes only information defined by that class... implementation details... etc.",2,4,3
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,data members and member functions.,5,5,5
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,A class definition usually contains the function and its data members,5,5,5
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,Data members and member functions,5,5,5
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,member functions,3,4,3.5
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,Member functions and data members belonging to the class.,5,5,5
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,a public and private area that includes the functions and variables that are used in the class,5,4,4.5
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,"the keyword class followed by they class name, on the inside you declare public and private declarations of your class",3,4,3.5
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,A class definition typically includes function definitions.,3,3,3
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,"It begins with Class, followed by the class name, then usually a constructor, data members and member functions that delineates the class is included in any class's definition.",5,5,5
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,the data and methods,5,4,4.5
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,"A constructor, functions, and variables that are accessible to by that class, and possibly other classes depending on how they are done.",5,4,4.5
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,Member functions and data members.,5,5,5
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,"public section and private section, and there must be a semicolon to set the end",1,4,2.5
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,member funtions and data members,5,5,5
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,Data members and Member functions,5,5,5
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,data members and member functions,5,5,5
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,"the class name and its public data types such as constructors, methods, functions.",2,5,3.5
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,"a constructor and several data members, and at least one public data member or method",4,5,4.5
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,"class name, two curly prenthesis, public and private",1,3,2
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,data members and member functions,5,5,5
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,Data and functions,5,4,4.5
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,functions and data members that belong to the class,5,5,5
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,"class variables, function definitions for the class",5,5,5
2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,"A class is an expanded concept of a data structure, it holds both the data and the functions being executed ",5,4,4.5
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,Data members are the data components of a particular class.  A member function are the functioning components of the class.,1,5,3
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,A field variable is a variable that is declared as a member of a class. A local variable is avariable that isdeclared local to a method.,1,4,2.5
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,"Data members are declared inside the class, but outside of any member functions. Unlike with local variables, each object of the class keeps its own copy of the data members stored in memory.",4,5,4.5
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,Data member are variables that represent an attribute in a class definition.  Local variables declared in a function body cannot be used outside of that function body.  When a function terminates the values of its local variables are lost.,4,5,4.5
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,A local variable cannot be accessed outside the function in which it is declared. Data members normally are private. Variables of functions declared private are accessible only to member functions of the class in which they are declared.,5,5,5
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,"A data member is part of a C++ class or structure that stores data of a certain type... A local variable inside a member function is only available inside that function, and can be used to derive a desired outcome.",4,5,4.5
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,A local variable can only be accessed within the scope of its declaration.,3,4,3.5
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,Data members are the atributes of the function and can be used outside the function. Local variable can not be used outside the function and the value is lost after the function terminates.,4,5,4.5
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,"data members are permanent attributes of the class, local variables inside a member function are lost when the scope of the member function ends.",3,5,4
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,data members are declared in a class definition but outside the bodies of a class's member-function definitions. Local variables are declared in a function definition's body,3,5,4
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,"A data member is globally accessible, while a local variable is only accessible inside the member function.",4,5,4.5
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,A variable inside a member function can only be accessed inside that member and a data member can be accessed throughought the program.,5,5,5
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,Local variables are used only within the scope of its declaration,5,4,4.5
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,"A data member is a more general term describing all objects instantiated within a member function.  ""Local"" in local variables refers more to the scope of a variable, which may be located in anything from a control structure to a class.  Local variables whose scope are in a member function are the same as data members of member functions.",0,4,2
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,A data member exists permanently in that program's memory as long as it's run.  A local variable inside a member function is temporal and only used to operate in the function and exists as long as the function is run.,2,5,3.5
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,"local variables can only be used within the function, where as data members can be set to public access and can be used throughout",5,5,5
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,"The local variable is lost once it exits the block of code, while the data member is not.",4,5,4.5
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,Every member function can access and modify a data member. A local variable can only be used from the line of declaration to the next closing } before it is lost from memory.,4,5,4.5
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,"data member is accessible to all functions in the class, where local variable is only available to the member function and value is lost when function closes",5,5,5
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,Data members are variables that are declared inside the class definition but outside of the bodies of the class member functions. Local variables can only be used within the function declaration.,4,5,4.5
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,"The data member can be accessed outside of the class, whereas the local variable cannot.",3,5,4
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,"Local variables cannot be used outside of that function body. When a function terminates the values of its local variables are lost. Where as data members are variables in a class definition, and they exist throughout the life of the object. ",5,5,5
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,a local variable in a member function has to be static. a data member can change its value freely.,0,4,2
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,"a local variable is only useable within the function it is defined, whereas a data member is available to any method within its class",5,5,5
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,Variable declared in a function defination's body cannot be used outside of that function.  Data members accessible only to member function of that class.,5,5,5
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,"data members   local variables are declared in a function definition’s body. they Cannot be used outside of that function body. When a function terminates, the values of its local variables are lost.   ",5,4,4.5
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,local variable is only available in the function.,4,5,4.5
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,local variables are accessed inside member functions only while data members   can be accessed throughout the class,4,5,4.5
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,"A data member is accessible anywhere in the class, while i local variable in a member function is only accessible in that particular function, and is freed after the function exits.",5,5,5
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,"a Data member is encapsulated within a class or object,  it is static and can be shared by all instances of that class.  however local variable's are only used from the function or block in which it is declared and not the whole class. other wise they would be called global variables. ",3,5,4
3.2,What is the scope of global variables?,File scope.,Any functions that follows their deceleration that  are in the source code file are allowed to have access the variables.  Also global scope variables retrain their value throughout the execution of the program.,5,5,5
3.2,What is the scope of global variables?,File scope.,they can be accessed by any C++ file anywhere.,0,5,2.5
3.2,What is the scope of global variables?,File scope.,Global variables have file scope.,5,5,5
3.2,What is the scope of global variables?,File scope.,The scope of global variables are created by placing variable declarations outside any class or function definition.  Global variables retain their values throughout the execution of the program and they can be referenced by any function that follows their declarations or definitions in the source file.,0,5,2.5
3.2,What is the scope of global variables?,File scope.,A global variable is an identifier that retains it's value throughout the execution of the program. It has file scope.,5,5,5
3.2,What is the scope of global variables?,File scope.,Global Variables can be used in any function as long as the appropriate .h file that holds the variable is included,3,5,4
3.2,What is the scope of global variables?,File scope.,They can be accessed by any part of the program. It can be referenced by any function that follows the declarations or definitions in the source file.,5,5,5
3.2,What is the scope of global variables?,File scope.,can be accesed by any classes that have and object of that variables class in it,1,5,3
3.2,What is the scope of global variables?,File scope.,Global variables have file-scope.  The variable is know to all functions throught the file,5,5,5
3.2,What is the scope of global variables?,File scope.,The entire program,4,5,4.5
3.2,What is the scope of global variables?,File scope.,They have file scope when placed outside a function.,5,5,5
3.2,What is the scope of global variables?,File scope.,File scope.,5,5,5
3.2,What is the scope of global variables?,File scope.,They can be used throughout the program,4,5,4.5
3.2,What is the scope of global variables?,File scope.,Global variable can b accessed by any class wit an object in the variables class,1,5,3
3.2,What is the scope of global variables?,File scope.,The scope of global variables is at the file level.,5,5,5
3.2,What is the scope of global variables?,File scope.,Global variables all have file scope.,5,5,5
3.2,What is the scope of global variables?,File scope.,it is accessible by all functions within a program,4,5,4.5
3.2,What is the scope of global variables?,File scope.,"variables accessible anywhere in the program, as long as they are public.",4,5,4.5
3.2,What is the scope of global variables?,File scope.,They can be referenced by any function following their declaration or definition inside the source file.,5,5,5
3.2,What is the scope of global variables?,File scope.,"globally, anywhere in the program.",4,5,4.5
3.2,What is the scope of global variables?,File scope.,Global variables have a file scope,5,5,5
3.2,What is the scope of global variables?,File scope.,The entire program.,4,5,4.5
3.2,What is the scope of global variables?,File scope.,throughout the execution of the program,4,5,4.5
3.2,What is the scope of global variables?,File scope.,"If a variable is declared global, any function or class can use that variable.",4,5,4.5
3.2,What is the scope of global variables?,File scope.,The entire program or file.,5,5,5
3.2,What is the scope of global variables?,File scope.,throught the programm,4,5,4.5
3.2,What is the scope of global variables?,File scope.,the whole code,4,5,4.5
3.2,What is the scope of global variables?,File scope.,File scope,5,5,5
3.2,What is the scope of global variables?,File scope.,can be referenced by any function that follows their declarations or definitions in the source file,5,5,5
3.2,What is the scope of global variables?,File scope.,global variables have program scope (accessible anywhere in program),4,5,4.5
3.2,What is the scope of global variables?,File scope.,variables that exist throught the entire script. their values can be changed anytime in the code and fucntions.,4,5,4.5
4.3,How are arrays passed to functions?,by reference.,by reference only,5,5,5
4.3,How are arrays passed to functions?,by reference.,a reference pointer to an element in the array.,4,5,4.5
4.3,How are arrays passed to functions?,by reference.,Arrays are passed to functions by reference.,5,5,5
4.3,How are arrays passed to functions?,by reference.,Arrays are passed by reference.,5,5,5
4.3,How are arrays passed to functions?,by reference.,"you must pass the array and its size to the function. Ex. function(array, size);",4,4,4
4.3,How are arrays passed to functions?,by reference.,"Usually the same way you pass anything else... you do not have to specify the length of a char array, just pass it to the function by sending the name of the array.  Example: char str[20]; isPalindrome(str); // this sends the char array to the function isPalindrome.  Otherwise, would need to send the length of the array as well.",3,4,3.5
4.3,How are arrays passed to functions?,by reference.,you pass a pointer to the first item and also pass the size.,4,3,3.5
4.3,How are arrays passed to functions?,by reference.,By reference.,5,5,5
4.3,How are arrays passed to functions?,by reference.,"In two parts, the array itself, and it's size, so that the function it's being passed to can avoid out of bounds errors.",4,4,4
4.3,How are arrays passed to functions?,by reference.,Specify array name without brackets. Array size is normally passed as another argument so the function can process the specific number of elements in the array. Arrays are passed by reference. Individual array elements passed by value. Functions that take arrays as arguments.,5,5,5
4.3,How are arrays passed to functions?,by reference.,Arrays are passed by reference.,5,5,5
4.3,How are arrays passed to functions?,by reference.,the same way but with [] at the declaration and the actual function.,3,3,3
4.3,How are arrays passed to functions?,by reference.,specify the array name without brackets.,3,3,3
4.3,How are arrays passed to functions?,by reference.,by reference,5,5,5
4.3,How are arrays passed to functions?,by reference.,"You pass the name of the array to the function. So for: int bin [10]; you pass it to an array like so: jingle(bin); but jingle must be declared correctly in order to receive an array, either with prototype void jingle (int []); or with the definition in its initialization: void jingle (int array[]);  It's also worth noting that arrays are passed to function by reference, so as to not copy large arrays over and over and burn memory.  This gives the function complete control over the array however.",5,5,5
4.3,How are arrays passed to functions?,by reference.,They are called by the function then the function must loop through the array to get the set of characters.,1,3,2
4.3,How are arrays passed to functions?,by reference.,"by reference by default, unless you specify const, at which the later will make the array unmodifiable.",5,5,5
4.3,How are arrays passed to functions?,by reference.,"The function recieves both the array and the array size as parameters. function(arrayName, arraySize)",4,4,4
4.3,How are arrays passed to functions?,by reference.,specifying array name and passing as reference in an argument into the function,5,5,5
4.3,How are arrays passed to functions?,by reference.,1st you must specify the array name without brackets and then the array name and size are passed as two arguments in the function call.,4,4,4
4.3,How are arrays passed to functions?,by reference.,"arrays are passed by reference, passing the starting address of array. programmer specifies the array name without brackets and passes the array size as another argument so the function can process the specific number of elements in the array",5,5,5
4.3,How are arrays passed to functions?,by reference.,by reference only,5,5,5
4.3,How are arrays passed to functions?,by reference.,by reference,5,5,5
4.3,How are arrays passed to functions?,by reference.,by reference,5,5,5
4.3,How are arrays passed to functions?,by reference.,by refrence,5,5,5
4.3,How are arrays passed to functions?,by reference.,"function( int [], int length)",4,4,4
4.3,How are arrays passed to functions?,by reference.,by reference,5,5,5
4.3,How are arrays passed to functions?,by reference.,by reference,5,5,5
4.3,How are arrays passed to functions?,by reference.,"The function reads the variables, stores them. then returns the what ever the variable reads. The function then prints the content of the array. ",1,4,2.5
7.4,How are linked lists passed as arguments to a function?,By reference.,They are passed by reference because you want the function to change the pointer,4,5,4.5
7.4,How are linked lists passed as arguments to a function?,By reference.,Linked lists are passed as arguments to a function by passing the head pointer of the list by reference.,5,5,5
7.4,How are linked lists passed as arguments to a function?,By reference.,- A function with access to a linked list's head pointer has access to the entire list.        - Pass the head ponter to a function as a reference argument.,5,5,5
7.4,How are linked lists passed as arguments to a function?,By reference.,By using a node.,2,3,2.5
7.4,How are linked lists passed as arguments to a function?,By reference.,Pass-by-reference,5,5,5
7.4,How are linked lists passed as arguments to a function?,By reference.,you send a pointer to an object of the LinkedList class,2,3,2.5
7.4,How are linked lists passed as arguments to a function?,By reference.,Passed as a pointer to the head.,5,3,4
7.4,How are linked lists passed as arguments to a function?,By reference.,Passing the head pointer of a linked list to a function gives that function access to all nodes of that linked list,5,4,4.5
7.4,How are linked lists passed as arguments to a function?,By reference.,You have to pass the head pointer to a function since it has access to the entire list.,5,3,4
7.4,How are linked lists passed as arguments to a function?,By reference.,You pass the head pointer to a function as a reference argument.,5,5,5
7.4,How are linked lists passed as arguments to a function?,By reference.,not answered,0,0,0
7.4,How are linked lists passed as arguments to a function?,By reference.,passes a pointer to a linked list object,2,3,2.5
7.4,How are linked lists passed as arguments to a function?,By reference.,"The linked list object contains the head, through which the other elements are accessible.",4,3,3.5
7.4,How are linked lists passed as arguments to a function?,By reference.,By the head of the list. It takes the head address and traverses from there on in.,5,3,4
7.4,How are linked lists passed as arguments to a function?,By reference.,as a pointer node.,3,3,3
7.4,How are linked lists passed as arguments to a function?,By reference.,A method with access to a linked list's head pointer as access to the entire list,5,3,4
7.4,How are linked lists passed as arguments to a function?,By reference.,A function with access to a linked list's head pointer has access to the entire list. Pass the head pointer to a function as a reference argument,5,5,5
7.4,How are linked lists passed as arguments to a function?,By reference.,the head pointer is passed to a function as a reference argument.,5,5,5
7.4,How are linked lists passed as arguments to a function?,By reference.,the pointer to the first element is passed to a function,5,3,4
7.4,How are linked lists passed as arguments to a function?,By reference.,"linked lists are passed by reference, specificly the Head pointer",5,5,5
7.4,How are linked lists passed as arguments to a function?,By reference.,Pass the head pointer to a function as a reference argument,5,5,5
7.4,How are linked lists passed as arguments to a function?,By reference.,by refrenece,5,5,5
7.4,How are linked lists passed as arguments to a function?,By reference.,By passing the head pointer and going through the list as needed inside the function.,5,3,4
